Data;benPrevTotal
01/01/1997;3402,2
01/02/1997;3328,6
01/03/1997;3436,8
01/04/1997;3364,6
01/05/1997;3509
01/06/1997;3539,4
01/07/1997;3729,8154
01/08/1997;3762,041
01/09/1997;3821,9395
01/10/1997;3835,810745
01/11/1997;4208,088403
01/12/1997;7112,169105
01/01/1998;3898,057
01/02/1998;3870,363
01/03/1998;3895,354
01/04/1998;3955,098
01/05/1998;3951,118
01/06/1998;4064,329
01/07/1998;4237,24
01/08/1998;4267,533
01/09/1998;4294,836
01/10/1998;4311,200222
01/11/1998;4743,556095
01/12/1998;7886,966156
01/01/1999;4320,776249
01/02/1999;4267,708641
01/03/1999;4324,852047
01/04/1999;4349,777984
01/05/1999;4374,053012
01/06/1999;4442,303737
01/07/1999;4631,165254
01/08/1999;4621,44223
01/09/1999;4623,487525
01/10/1999;4727,12745
01/11/1999;5153,66252
01/12/1999;8703,666324
01/01/2000;4671,814251
01/02/2000;4670,670546
01/03/2000;4781,336067
01/04/2000;4810,729656
01/05/2000;4995,425724
01/06/2000;5056,694973
01/07/2000;5199,701106
01/08/2000;5260,465829
01/09/2000;5334,23847
01/10/2000;5405,53515
01/11/2000;5885,492594
01/12/2000;9714,975278
01/01/2001;5260,030593
01/02/2001;5301,791498
01/03/2001;5448,051353
01/04/2001;5464,756556
01/05/2001;5798,067147
01/06/2001;5835,744109
01/07/2001;6120,585836
01/08/2001;6092,50001
01/09/2001;6019,147419
01/10/2001;6026,73888
01/11/2001;6676,86872
01/12/2001;11283,82428
01/01/2002;6157,927843
01/02/2002;6254,655169
01/03/2002;6316,664137
01/04/2002;6413,80496
01/05/2002;6608,62367
01/06/2002;6733,8786
01/07/2002;7091,499888
01/08/2002;7117,168729
01/09/2002;7167,140985
01/10/2002;7229,994374
01/11/2002;7864,483542
01/12/2002;13070,81707
01/01/2003;7203,999783
01/02/2003;7195,159765
01/03/2003;7248,969701
01/04/2003;7404,79444
01/05/2003;7856,809881
01/06/2003;8062,994017
01/07/2003;8877,10114
01/08/2003;9069,745271
01/09/2003;8906,148719
01/10/2003;8966,139063
